n_id	n_item_id	s_item_alias	s_name	s_desc	s_type_alias	s_sub_type_alias	s_quality_alias	s_icon	s_small_icon	s_res_name	n_isOverlay	n_isUse	n_isDiscard	s_params	n_recycling_time
序号	物品id	物品id别称	物品名	物品描述	物品类型别称	子类型别称	物品品质别称	物品icon	物品icon	零件库文件名	是否堆叠	是否使用	是否丢弃	自定义属性	场景回收秒
1	501	ability_noob	ability_noob	g2069_items_1	ability		rare	asset/imageset/icon:prop_wulitiequanshu_icon		ability_item	1	1	0		
2	601	ability_luffy	ability_luffy	g2069_items_1	ability		rare	asset/imageset/icon:prop_lufeishu_icon		prop_lufei	1	1	0		
3	602	ability_sauron	ability_sauron	g2069_items_1	ability		epic	asset/imageset/icon:prop_suolongshu_icon		prop_suolong	1	1	0		
4	603	ability_naruto	ability_naruto	g2069_items_1	ability		rare	asset/imageset/icon:prop_mingrenshu_icon		prop_mingren	1	1	0		
5	604	ability_sasuke	ability_sasuke	g2069_items_2	ability		epic	asset/imageset/icon:prop_zuozhushu_icon		prop_zuozhu	1	1	0		
6	605	ability_ace	ability_ace	g2069_items_2	ability		legendary	asset/imageset/icon:prop_aisishu_icon		prop_aisi	1	1	0		
7	606	ability_enel	ability_enel	g2069_items_2	ability		legendary	asset/imageset/icon:prop_ainilushu_icon		prop_ainilu	1	1	0		
8	607	ability_gaara	ability_gaara	g2069_items_2	ability		legendary	asset/imageset/icon:prop_woailuoshu_icon		prop_woailuo	1	1	0		
9	608	ability_konan	ability_konan	g2069_items_1	ability		legendary	asset/imageset/icon:prop_xiaonanshu_icon		prop_xiaonan	1	1	0		
10	609	ability_baihuzi	ability_baihuzi	g2069_items_1	ability		legendary	asset/imageset/icon:prop_baihuzishu_icon		prop_baihuzi	1	1	0		
11	610	ability_peien	ability_peien	g2069_items_1	ability		legendary	asset/imageset/icon:prop_peienshu_icon		prop_peien	1	1	0		
12	5011	ability_noobshu	ability_noobshu	g2069_items_11	book		rare	asset/imageset/icon:prop_wulitiequan_icon		ability_item	1	1	0	ability_id#501	
13	6011	ability_luffyshu	ability_luffyshu	g2069_items_11	book		rare	asset/imageset/icon:prop_lufei_icon		prop_lufei	1	1	0	ability_id#601	
14	6021	ability_sauronshu	ability_sauronshu	g2069_items_11	book		epic	asset/imageset/icon:prop_suolong_icon		prop_suolong	1	1	0	ability_id#602	
15	6031	ability_narutoshu	ability_narutoshu	g2069_items_11	book		rare	asset/imageset/icon:prop_mingren_icon		prop_mingren	1	1	0	ability_id#603	
