s_regionName	s_monsterList	n_maxExistNum	n_refreshTime	n_birthY	n_fixedPos	s_resetToBorn
区域名	区域可产出的怪物Id#分割	区域怪物最大存在数量	区域怪物刷新时间 秒	怪物出生Y坐标(不填为零件posY)	出生点是否使用零件坐标(1 是)	怪物重置距离#高
g2069_monster_region100001	1001	1	20		1	35#30
g2069_monster_region100002	1001	1	20		1	35#30
g2069_monster_region100003	1001	1	20		1	35#30
g2069_monster_region100004	1001	1	20		1	35#30
g2069_monster_region100005	1001	1	20		1	35#30
g2069_monster_region100006	1001	1	20		1	35#30
g2069_monster_region100007	1001	1	20		1	35#30
g2069_monster_region100008	1001	1	20		1	35#30
g2069_monster_region100009	1003	1	20		1	35#30
g2069_monster_region100010	1003	1	20		1	35#30
g2069_monster_region100011	1003	1	20		1	35#30
g2069_monster_region100012	1003	1	20		1	35#30
g2069_monster_region100013	1003	1	20		1	35#30
g2069_monster_region100014	1003	1	20		1	35#30
g2069_monster_region100015	1003	1	20		1	35#30
g2069_monster_region100016	1003	1	20		1	35#30
g2069_monster_region200001	2001	1	20		1	30#30
g2069_monster_region200002	2001	1	20		1	30#30
g2069_monster_region200003	2001	1	20		1	30#30
g2069_monster_region200004	2001	1	20		1	30#30
g2069_monster_region200005	2001	1	20		1	30#30
g2069_monster_region200006	2001	1	20		1	30#30
g2069_monster_region200007	2001	1	20		1	30#30
g2069_monster_region200008	2001	1	20		1	30#30
g2069_monster_region200009	2002	1	20		1	30#30
g2069_monster_region200010	2002	1	20		1	30#30
g2069_monster_region200011	2002	1	20		1	30#30
g2069_monster_region200012	2002	1	20		1	30#30
g2069_monster_region200013	2002	1	20		1	30#30
g2069_monster_region200014	2002	1	20		1	30#30
g2069_monster_region200015	2002	1	20		1	30#30
g2069_monster_region200016	2002	1	20		1	30#30
g2069_monster_region300001	3001	1	10		1	85#30
g2069_monster_region300002	3001	1	10		1	85#30
g2069_monster_region300003	3001	1	10		1	85#30
g2069_monster_region300004	3001	1	10		1	85#30
g2069_monster_region300005	3001	1	10		1	85#30
g2069_monster_region300006	3001	1	10		1	85#30
g2069_monster_region300007	3001	1	10		1	85#30
g2069_monster_region300008	3001	1	10		1	85#30
g2069_monster_region300009	3001	1	10		1	85#30
g2069_monster_region300010	3001	1	10		1	85#30
g2069_monster_region300011	3002	1	10		1	85#30
g2069_monster_region300012	3002	1	10		1	85#30
g2069_monster_region300013	3002	1	10		1	85#30
g2069_monster_region300014	3002	1	10		1	85#30
g2069_monster_region300015	3002	1	10		1	85#30
g2069_monster_region300016	3002	1	10		1	85#30
g2069_monster_region300017	3002	1	10		1	85#30
g2069_monster_region300018	3002	1	10		1	85#30
g2069_monster_region300019	3002	1	10		1	85#30
g2069_monster_region300020	3002	1	10		1	85#30
