event	event_ch_name	event_description	key1	key2	key3	key4	key5	key6	key7	key8	key9	key10	key11	key12	key13	key14	key15	key16	key17	key18	key19	key20	key21	key22	key23	key24	key25	key26	key27	key28	key29	key30	key31
上报时机	中文名	描述	属性1	属性2	属性3	属性4	属性5	属性6	属性7	属性8	属性9	属性10	属性11	属性12	属性13	属性14	属性15	属性16	属性17	属性18	属性19	属性20	属性21	属性22	属性23	属性24	属性25	属性26	属性27	属性28	属性29	属性30	属性31
player_in	游戏_进入	玩家进入游戏时	player_sex	health_level	attack_level	ele_attack_level	energy_level	today_play_time	total_play_time	activity_day	role_level	role_battle_power	ability_id_alias	ability_level	remain_attribute_points	sec_attribute_points	main_task_id	side_task_id	points_solution	points_solution_count	map	coordiantes											
player_out	游戏_退出	玩家退出游戏时	online_time	role_level	count_kill_monster	count_kill_boss	count_killed_monster	count_kill_other	count_killed_other	ability_id_alias	health_level	attack_level	ele_attack_level	energy_level	today_play_time	total_play_time	activity_day	role_level	role_battle_power	ability_id_alias	ability_level	remain_attribute_points	sec_attribute_points	main_task_id	side_task_id	points_solution	points_solution_count	map	coordiantes				
ui_open	界面_关闭	玩家关闭界面时	string_danger_exp	role_gold_coin	health_level	attack_level	ele_attack_level	energy_level	today_play_time	total_play_time	activity_day	role_level	role_battle_power	ability_id_alias	ability_level	remain_attribute_points	sec_attribute_points	main_task_id	side_task_id	points_solution	points_solution_count	map	coordiantes	ui_name									
ui_close	界面_打开	玩家打开界面时	string_danger_exp	role_gold_coin	health_level	attack_level	ele_attack_level	energy_level	today_play_time	total_play_time	activity_day	role_level	role_battle_power	ability_id_alias	ability_level	remain_attribute_points	sec_attribute_points	main_task_id	side_task_id	points_solution	points_solution_count	map	coordiantes	ui_name	open_time								
video_press	录像_按钮点击	每次按下录像模式相关按钮时	entrance	filter	hideUI	pull	push	exit	hideSetting																								
video_time	录像_时长	点击退出录像模式按钮时	stayVideoTime																														
video_select	录像_特效选择	点击选择滤镜/天气/特效时	videoSelectId																														
video_start	录像_录制按钮点击事件	每次按下录制视频按钮时上报1次																															
video_end	录像_结束录制事件	结束录制时上报																															
error_not_available	录像_手机不支持录屏	每次进入录像模式时上报																															
error_storage	录像_内存空间不足	中断录制时上报																															
error_time	录像_录屏时间到达上限	中断录制时上报																															
video_start_time	录像_录制时长	结束录制时上报，包括非正常结束	videoRecordTime																														
engine_fps	帧数_上报	帧数上报	fps	minute_jank	client_memory	map																											
ping_event	ping	每分钟对玩家进行 一次ping上报 	ping	map																													
chat_info	聊天时记录 	聊天时记录 																															
add_friend	添加好友	添加好友信息 																															
g2069_ability_level_up	能力升级	能力升级	string_danger_exp	role_gold_coin	health_level	attack_level	ele_attack_level	energy_level	today_play_time	total_play_time	activity_day	role_level	role_battle_power	ability_id_alias	ability_level	remain_attribute_points	sec_attribute_points	main_task_id	side_task_id	points_solution	points_solution_count	map	coordiantes	level_after_upgrad	time_spent								
g2069_commodity_change	商店购买	商店购买	string_danger_exp	role_gold_coin	health_level	attack_level	ele_attack_level	energy_level	today_play_time	total_play_time	activity_day	role_level	role_battle_power	ability_id_alias	ability_level	remain_attribute_points	sec_attribute_points	main_task_id	side_task_id	points_solution	points_solution_count	map	coordiantes	shop_id_alias	shop_method	purchase_currency	amount_spent						
g2069_role_attributes_points_operation	属性点操作	属性点操作	string_danger_exp	role_gold_coin	health_level	attack_level	ele_attack_level	energy_level	today_play_time	total_play_time	activity_day	role_level	role_battle_power	ability_id_alias	ability_level	remain_attribute_points	sec_attribute_points	main_task_id	side_task_id	points_solution	points_solution_count	map	coordiantes	points_operation_type	upgrade_attribute								
g2069_points_solution_operation	属性方案操作	属性方案操作	string_danger_exp	role_gold_coin	health_level	attack_level	ele_attack_level	energy_level	today_play_time	total_play_time	activity_day	role_level	role_battle_power	ability_id_alias	ability_level	remain_attribute_points	sec_attribute_points	main_task_id	side_task_id	points_solution	points_solution_count	map	coordiantes	operation_type	existing_solution_count	previous_solution	previous_solution_attributes	duration_time	after_solution	after_solution_attributes			
g2069_birthplace_selection	初始地图	初始地图	string_danger_exp	role_gold_coin	health_level	attack_level	ele_attack_level	energy_level	today_play_time	total_play_time	activity_day	role_level	role_battle_power	ability_id_alias	ability_level	remain_attribute_points	sec_attribute_points	main_task_id	side_task_id	points_solution	points_solution_count	map	coordiantes	map_name									
g2069_ability_discard	能力丢弃	能力丢弃	string_danger_exp	role_gold_coin	health_level	attack_level	ele_attack_level	energy_level	today_play_time	total_play_time	activity_day	role_level	role_battle_power	ability_id_alias	ability_level	remain_attribute_points	sec_attribute_points	main_task_id	side_task_id	points_solution	points_solution_count	map	coordiantes	drop_ability_id_alias	drop_ability_level	holding_time	ability_total_count	quantity_after_discard					
g2069_item_change	物品变化	物品变化	string_danger_exp	role_gold_coin	health_level	attack_level	ele_attack_level	energy_level	today_play_time	total_play_time	activity_day	role_level	role_battle_power	ability_id_alias	ability_level	remain_attribute_points	sec_attribute_points	main_task_id	side_task_id	points_solution	points_solution_count	map	coordiantes	item_id_alias	item_type_s	item_sub_type_s	change_type_s	change_method	change_number	obtain_ability_level	ability_total_count		
g2069_task_change	任务变化日志	任务接取、完成或放弃时记录上传	string_danger_exp	role_gold_coin	health_level	attack_level	ele_attack_level	energy_level	today_play_time	total_play_time	activity_day	task_id_alias	task_change_type	discard_type	role_level	role_battle_power	ability_id_alias	ability_level	remain_attribute_points	sec_attribute_points	main_task_id	side_task_id	points_solution	points_solution_count	map	coordiantes							
g2069_npc_access	npc访问日志	npc访问日志。开始对话时记录，结束对话时上传	string_danger_exp	role_gold_coin	health_level	attack_level	ele_attack_level	energy_level	today_play_time	total_play_time	activity_day	npc_id_alias	conversations	product_displays	scene_teleports	task_distributions	role_level	role_battle_power	ability_id_alias	ability_level	remain_attribute_points	sec_attribute_points	main_task_id	side_task_id	points_solution	points_solution_count	map	coordiantes	lottery_displays	lottery_cd_displays			
g2069_pk_mode	pk模式日志	玩家登录时记录，每次pk状态发生变更时上传	string_danger_exp	role_gold_coin	health_level	attack_level	ele_attack_level	energy_level	today_play_time	total_play_time	activity_day	pk_mode	pk_mode_before	pk_duration_time	role_level	role_battle_power	ability_id_alias	ability_level	remain_attribute_points	sec_attribute_points	main_task_id	side_task_id	points_solution	points_solution_count	map	coordiantes							
g2069_ability_change	切换能力	切换能力	string_danger_exp	role_gold_coin	health_level	attack_level	ele_attack_level	energy_level	today_play_time	total_play_time	activity_day	role_level	role_battle_power	ability_id_alias	ability_level	remain_attribute_points	sec_attribute_points	main_task_id	side_task_id	points_solution	points_solution_count	map	coordiantes	previous_ability_alias	switch_ability_alias								
kill_other	击杀玩家		string_danger_exp	role_gold_coin	health_level	attack_level	ele_attack_level	energy_level	today_play_time	total_play_time	activity_day	role_level	role_battle_power	ability_id_alias	ability_level	remain_attribute_points	sec_attribute_points	main_task_id	side_task_id	points_solution	points_solution_count	map	coordiantes	ability_id_alias	ability_level	obtain_danger_exp	total_danger_exp						
killed_other	被玩家击杀		string_danger_exp	role_gold_coin	health_level	attack_level	ele_attack_level	energy_level	today_play_time	total_play_time	activity_day	role_level	role_battle_power	ability_id_alias	ability_level	remain_attribute_points	sec_attribute_points	main_task_id	side_task_id	points_solution	points_solution_count	map	coordiantes	total_danger_exp	lost_dangerou_value	other_level	other_danger_exp						
kill_monster_boss	击杀BOSS		string_danger_exp	role_gold_coin	health_level	attack_level	ele_attack_level	energy_level	today_play_time	total_play_time	activity_day	role_level	role_battle_power	ability_id_alias	ability_level	remain_attribute_points	sec_attribute_points	main_task_id	side_task_id	points_solution	points_solution_count	map	coordiantes	ability_id_alias	ability_level	monster_id_alias							
killed_monster	被怪物击杀		string_danger_exp	role_gold_coin	health_level	attack_level	ele_attack_level	energy_level	today_play_time	total_play_time	activity_day	role_level	role_battle_power	ability_id_alias	ability_level	remain_attribute_points	sec_attribute_points	main_task_id	side_task_id	points_solution	points_solution_count	map	coordiantes	monster_id_alias									
frist_kill_monster	首次击杀怪物		string_danger_exp	role_gold_coin	health_level	attack_level	ele_attack_level	energy_level	today_play_time	total_play_time	activity_day	online_time																					
frist_killed_monster	首次被怪物击杀		string_danger_exp	role_gold_coin	health_level	attack_level	ele_attack_level	energy_level	today_play_time	total_play_time	activity_day	online_time																					
frist_kill_ohter	首次击杀玩家		string_danger_exp	role_gold_coin	health_level	attack_level	ele_attack_level	energy_level	today_play_time	total_play_time	activity_day	online_time																					
frist_killed_ohter	首次被玩家击杀		string_danger_exp	role_gold_coin	health_level	attack_level	ele_attack_level	energy_level	today_play_time	total_play_time	activity_day	online_time																					
