key	type	ch_name	description
上报key	数据类型(int、string、bool)	中文名	描述
entrance	int	录像-设置界面内进入录像模式按钮	
filter	int	录像-特效按钮	
hideUI	int	录像-隐藏UI	
hideSetting	int	录像-展开隐藏设置	
pull	int	录像-收起菜单	
push	int	录像-展开菜单	
exit	int	录像-退出录像模式	
stayVideoTime	int	录像-在录像模式中停留的事件（秒）	
videoSelectId	string	录像-滤镜/天气/特效的序号	
videoRecordTime	int	录像-开始录制到结束录制经过的时间(秒)	
fps	int	平均帧率	
ping	int	每分钟平均ping值 	每分钟平均ping值 
minute_jank	int	每分钟卡顿 	每分钟卡顿 
client_memory	int	客户端内存	
player_sex	int	玩家性别	
role_level	int	角色等级	
role_battle_power	int	角色战斗力	
ability_id_alias	string	当前装备能力id	
ability_level	int	当前装备能力等级	
remain_attribute_points	int	当前剩余属性点	
sec_attribute_points	string	二级属性点数	
main_task_id	int	当前主线任务ID	
side_task_id	string	当前支线任务ID	
points_solution	int	当前使用的加点方案	
points_solution_count	int	当前拥有的加点方案数量	
map	string	当前地图名	
coordiantes	string	当前坐标点	
level_after_upgrad	int	升级后等级	
time_spent	int	达到此等级花费时间，单位秒	
shop_id_alias	string	商品id	
shop_method	string	商品渠道	
purchase_currency	string	购买货币	
amount_spent	int	消耗数量	
points_operation_type	string	操作类型	
upgrade_attribute	string	加点的属性	
operation_type	string	操作类型	
existing_solution_count	int	开通前已有方案数量	
previous_solution	int	切换前方案	
previous_solution_attributes	string	切换前二级属性点数	
duration_time	int	切换方案前持续时间	
after_solution	int	切换后方案	
after_solution_attributes	string	切换后二级属性点数	
map_name	string	玩家选择的地图	
drop_ability_id_alias	string	丢弃的能力id	
drop_ability_level	int	丢弃的能力等级	
holding_time	int	丢弃的能力的持有时间	
ability_total_count	int	丢弃的能力累计获得次数	
quantity_after_discard	int	丢弃后背包拥有的数量	
item_id_alias	string	物品id	
item_type_s	string	物品类型	
change_type_s	string	变化类型	
change_method	string	变化途径	
change_number	int	变化数量	
obtain_ability_level	int	能力等级	
ability_total_count	int	能力累计获得次数	
task_id_alias	int	任务id	
task_change_type	string	任务变化类型	
discard_type	string	放弃类型	
npc_id_alias	string	npcid	
conversations	int	对话次数	
product_displays	int	商品展示次数	
scene_teleports	int	场景传送次数	
task_distributions	int	任务发放次数	
pk_mode	string	当前模式	
pk_mode_before	string	上一个模式	
pk_duration_time	int	上一模式持续时长	
previous_ability_alias	string	切换前能力	
switch_ability_alias	string	切换的能力	
int_play_time	int	总游戏时长(十倍hour)	
online_time	int	单局游戏在线时长(秒)	
count_kill_monster	int	本局击杀怪物次数	
count_kill_boss	int	本局击杀boss次数	
count_killed_monster	int	本局被怪物击杀次数	
count_kill_other	int	本局击杀玩家次数	
count_killed_other	int	本局被玩家击杀次数 	
monster_id_alias	string	怪物别称	
ability_id	string	能力别称	
player_level	int	玩家等级	
string_play_time	string	总游戏时长(hour-str)	
lottery_displays	int	抽奖展示次数	
lottery_cd_displays	int	抽奖冷却中展示次数	
lottery_item_alias	string	抽奖消耗物品	
lottery_amount_spent	int	消耗物品数量	
lottery_count	int	玩家累积抽奖次数	
lottery_stage_count	int	玩家阶段累积抽奖次数	
lottery_daily_count	int	玩家当日累积抽奖次数	
lottery_guaranteed	int	本次是否触发保底	
lottery_pool_id	int	玩家抽奖的池子ID 	
item_sub_type_s	string	物品子类型	
level_up_spent	int	升级花费时间（单位分钟）	
today_play_time	int	今日游玩时间（单位分钟）	
total_play_time	int	总游玩时间（单位分钟）	
activity_day	int	自然活跃天数	
obtain_danger_exp	int	获得的危险指数	
total_danger_exp	int	玩家当前危险指数	
lost_dangerou_value	int	失去的危险指数	
hit_skill_id	int	伤害来源技能ID(hit_skill_id)	
other_level	int	敌方等级	
other_danger_exp	int	被击杀后敌方的危险指数	
attack_type	int	攻击方式	
hit_object	string	命中对象	
hit_object_level	int	命中对象等级	
damage	int	伤害量	
be_attacked_type	int	受击方式	
attacked_object	string	攻击来源	
attacked_object_level	int	攻击来源等级	
health_level	int	当前生命等级	
attack_level	int	当前物理攻击等级	
ele_attack_level	int	当前元素攻击等级	
energy_level	int	当前精力等级	
ui_name	string	界面名称	
open_time	int	界面打开时间，单位秒	
before_fix_danger_exp	string	修复前有问题的危险值	
fixed_danger_exp	int	修复后的危险值	
string_danger_exp	string	总危险指数-string	
global_string_danger_exp	string	玩家全球榜当前危险值	
region_string_danger_exp	string	玩家地区榜当前危险值	
global_rank_position	int	上报时玩家的全球排名	
region_rank_position	int	上报时玩家的区域排名	
mission_room_id	string	房间唯一id	
mission_alias	string	副本别称	
mission_invited_player	int	邀请人数	
mission_open_count_today	int	今日累积开启次数	
mission_enter_player	int	实际进入人数	
mission_is_player_full	int	进入人数是否等于邀请人数（1是0否）	
mission_is_opener	int	是否开启者（1是0否）	
mission_wait_time	int	等待时长（单位秒）	
mission_end_time	int	结束时间	
mission_end_reason	string	副本结束原因	
mission_finish_player	int	通关人数	
mission_end_stage	int	结束时所在场景	
mission_undead_player	int	死亡时剩余玩家	
mission_die_stage	int	死亡时所在场景	
role_gold_coin	int	玩家当前金币数量	
awake_ability_id_alias	string	觉醒能力别称	
awake_level	int	觉醒等级	
